Datetime,num_of_neurons,batch_size,lr,epoch,imbalanced,Loss,Acc,AUC,Pre,Rec,Method,method,comments
"06/01/2022, 09:45:56","[128, 64, 64, 32, 16]",8,0.001,30,False,0.4995864331722259,0.800000011920929,0.8400000333786011,1.0,0.6000000238418579,raw,,0
"06/01/2022, 09:48:15","[128, 64, 64, 32, 16]",32,0.001,15,False,0.4354622960090637,0.699999988079071,0.9000000357627869,0.6666666865348816,0.800000011920929,raw,,0
"06/01/2022, 09:51:04","[128, 64, 64, 32, 16]",32,0.001,15,True,0.2053062617778778,1.0,1.0,1.0,1.0,raw,,0
"06/01/2022, 09:55:30","[128, 64, 64, 32, 16]",32,0.001,15,True,0.2053062617778778,1.0,1.0,1.0,1.0,raw,,0
"06/01/2022, 10:20:14","[128, 64, 64, 32, 16]",32,0.001,15,True,0.4176257252693176,0.8999999761581421,0.9600000381469728,1.0,0.800000011920929,raw,,0
"06/01/2022, 10:23:25","[128, 64, 64, 32, 16]",32,0.001,15,True,0.6612809896469116,0.800000011920929,0.9000000357627869,1.0,0.6000000238418579,raw,,0
"06/01/2022, 10:27:11","[128, 64, 64, 32, 16]",32,0.001,15,True,0.2053062617778778,1.0,1.0,1.0,1.0,raw,,0
"06/02/2022, 09:29:31","[128, 64, 64, 32, 16]",32,0.001,15,True,0.6931780576705933,0.5,0.5,0.5,1.0,weighted,,0
"06/02/2022, 09:48:30","[128, 64, 64, 32, 16]",32,0.001,15,True,0.6931780576705933,0.5,0.5,0.5,1.0,weighted,,0
"06/02/2022, 09:59:37","[128, 64, 64, 32, 16]",32,0.001,15,True,0.6931780576705933,0.5,0.5,0.5,1.0,,weighted,0
"06/02/2022, 10:04:34","[32, 16]",16,0.001,30,False,0.6968376636505127,0.5,0.6399999856948853,0.0,0.0,,weighted,0
"06/02/2022, 10:06:03","[32, 16]",8,0.001,30,True,0.6713243722915649,0.699999988079071,0.7799999713897705,1.0,0.4000000059604645,,weighted,0
"06/02/2022, 10:08:36","[32, 16]",8,0.001,30,False,0.6906977891921997,0.5,0.7599999904632568,0.0,0.0,,weighted,0
"06/02/2022, 10:20:07","[32, 16]",8,0.001,300,True,0.3183142840862274,0.8999999761581421,0.9600000381469728,1.0,0.800000011920929,,weighted,0
"06/06/2022, 09:04:02","[32, 16]",8,0.001,30,False,0.7000376582145691,0.5357142686843872,0.4794871807098388,0.0,0.0,,weighted,Trained with 70/30 split
"06/06/2022, 09:06:01","[32, 16]",8,0.001,30,True,0.7582902312278748,0.5714285969734192,0.5205128192901611,0.5555555820465088,0.3846153914928436,,weighted,Trained with 70/30 split
"06/06/2022, 09:07:45","[32, 16]",16,0.001,50,True,0.7478213906288147,0.5714285969734192,0.5076923370361328,0.5555555820465088,0.3846153914928436,,weighted,Trained with 70/30 split
"06/06/2022, 09:11:10","[64, 32, 16]",16,0.001,50,True,0.6932807564735413,0.4642857015132904,0.5,0.4642857015132904,1.0,,weighted,Trained with 70/30 split
"06/06/2022, 09:12:50","[16, 8]",16,0.001,50,True,0.7210196256637573,0.6071428656578064,0.571794867515564,0.6666666865348816,0.3076923191547394,,weighted,Trained with 70/30 split
"06/06/2022, 09:16:06","[16, 8]",16,0.001,50,False,0.7419546842575073,0.5357142686843872,0.5410256385803223,0.0,0.0,,weighted,Trained with 70/30 split
"06/06/2022, 09:17:55","[8, 8]",16,0.001,50,True,0.7403256297111511,0.5357142686843872,0.5461538434028625,0.5,0.3846153914928436,,weighted,Trained with 70/30 split
"06/06/2022, 09:19:38","[32, 8]",16,0.001,50,True,0.6932786107063293,0.4642857015132904,0.5,0.4642857015132904,1.0,,weighted,Trained with 70/30 split
"06/06/2022, 09:21:19","[16, 8]",8,0.001,50,True,0.7901645302772522,0.6428571343421936,0.5769230723381042,0.6666666865348816,0.4615384638309479,,weighted,Trained with 70/30 split
"06/06/2022, 10:51:06","[16, 8]",8,0.001,50,False,4.817179203033447,0.7857142686843872,0.8205128312110901,0.8888888955116272,0.6153846383094788,,raw,Trained with 70/30 split & raw CM
"06/06/2022, 10:55:19","[16, 8]",8,0.001,50,True,17.747385025024414,0.7142857313156128,0.7487179636955261,0.8571428656578064,0.4615384638309479,,raw,Trained with 70/30 split & raw CM
"06/06/2022, 11:57:42","[16, 8]",8,0.001,50,False,4.817179203033447,0.7857142686843872,0.8205128312110901,0.8888888955116272,0.6153846383094788,,raw,Trained with 70/30 split & raw CM & check test data is unseen
"06/07/2022, 10:29:28","[16, 8]",8,0.001,50,False,14.185487747192385,0.5757575631141663,0.5444443821907043,0.5555555820465088,0.3333333432674408,,raw,Different testing batch selected
"06/08/2022, 09:52:34","[16, 8]",8,0.001,50,False,12.763420100349434,0.631578947368421,0.0,0.231578947368421,0.231578947368421,,raw,Crossvalidated-L1O
"06/08/2022, 11:24:03","[16, 8]",8,0.001,30,False,12.778612545830985,0.631578947368421,0.0,0.231578947368421,0.231578947368421,,raw,Crossvalidated-L1O
"06/08/2022, 12:03:29","[16, 8]",8,0.001,30,False,0.7005759110576228,0.5684210526315789,0.0,0.0,0.0,,weighted,Crossvalidated-L1O with weighted data
